geoid_a,geoid_b,pax_ab,pax_ba,passengers
27053,53033,32097,30333,62430
11001,48439,31097,30793,61890
08031,34013,31523,30355,61878
24003,37119,30989,30599,61588
12057,25025,29466,31619,61085
12086,25025,30171,30891,61062
04013,06071,31178,29579,60757
13063,53033,30624,29941,60565
13063,48029,30767,29762,60529
04013,42101,29798,30466,60264
13063,39035,29307,30820,60127
13063,45083,29540,30474,60014
08031,12057,30109,29668,59777
36081,37183,29865,29856,59721
12099,25025,28688,30644,59332
06073,48201,30087,29220,59307
12086,48201,29680,29390,59070
06001,06073,29730,29202,58932
06037,26163,28870,30044,58914
12011,37119,29901,29002,58903
27053,48439,29999,28902,58901
37119,37183,28472,30362,58834
11001,36081,29170,29649,58819
08031,26163,28255,30197,58452
27053,36081,29515,28587,58102
04013,36081,28985,28792,57777
08031,25025,27741,29785,57526
36081,49035,29034,28226,57260
12057,27053,27762,29495,57257
26163,27053,28473,28612,57085
13063,55079,28328,28751,57079
17031,42003,27771,29292,57063
25025,48439,28613,28177,56790
37119,47037,28700,27815,56515
06067,08031,28036,28200,56236
08031,12011,27847,28273,56120
08031,42101,27908,27951,55859
13063,48113,27957,27761,55718
26163,48439,28171,27534,55705
17031,21015,27741,27947,55688
06037,37119,28469,26988,55457
32003,34013,27352,28051,55403
06037,22051,28419,26970,55389
01073,13063,27875,27477,55352
32003,32031,27221,28066,55287
08031,24003,27507,27770,55277
04013,06001,28323,26926,55249
08031,51107,27595,27403,54998
06073,13063,27278,27119,54397
17031,18097,27422,26857,54279
08031,37119,26741,27362,54103
04013,26163,26805,27295,54100
06067,53033,26722,26928,53650
37119,48201,26625,26718,53343
04013,48453,26472,26708,53180
12057,34013,26139,27007,53146
13063,51107,26382,26625,53007
13063,21111,26352,26504,52856
08031,29189,26789,25966,52755
34013,48439,26125,26290,52415
06085,41051,26002,26240,52242
48029,48113,26245,25916,52161
22051,48439,26202,25909,52111
12071,34013,25283,26613,51896
06037,48113,26168,25644,51812
