geoid_a,geoid_b,pax_ab,pax_ba,passengers
17031,36081,193522,193833,387355
06037,06081,184462,185212,369674
06037,32003,182086,174626,356712
06037,36081,175685,170802,346487
06037,17031,156822,154255,311077
13063,36081,150458,150478,300936
06037,53033,144175,136467,280642
08031,17031,136628,143072,279700
12095,13063,126456,126952,253408
06037,08031,126579,124098,250677
13063,17031,122962,122774,245736
12011,13063,118407,117377,235784
06037,48439,116147,115238,231385
17031,25025,112602,110796,223398
17031,27053,110582,109736,220318
06081,17031,112158,108004,220162
12011,36081,112260,106873,219133
12095,36081,107597,111379,218976
06081,53033,109247,103135,212382
06037,06085,102937,108891,211828
12086,36081,105744,103765,209509
17031,32003,102603,104611,207214
04013,06037,100392,102803,203195
06037,13063,100564,102260,202824
17031,48439,99070,101118,200188
06037,48201,101178,98020,199198
06001,06037,97874,99437,197311
06081,34013,100162,96857,197019
12095,17031,97450,97817,195267
08031,48201,94542,98789,193331
17031,53033,96145,95540,191685
06037,06067,93648,95343,188991
36081,48439,92213,96015,188228
13063,48201,90478,94714,185192
12057,13063,92301,92028,184329
08031,53033,92447,91084,183531
06081,36081,92316,89458,181774
04013,17031,92701,88695,181396
06081,08031,93606,87760,181366
11001,17031,92353,87449,179802
17031,48201,87590,90154,177744
25025,36081,87926,89051,176977
36081,37119,86162,90542,176704
13063,25025,87736,87140,174876
17031,34013,87833,84758,172591
06037,49035,88795,83244,172039
04013,08031,86765,83045,169810
13063,48439,83693,84680,168373
17031,42101,82333,80851,163184
08031,32003,80101,82210,162311
08031,13063,79900,81822,161722
12095,34013,79675,81733,161408
06037,34013,81268,79755,161023
32003,53033,82060,78582,160642
13063,24003,78307,79973,158280
08031,27053,79381,78620,158001
04013,53033,81223,76669,157892
06037,25025,80169,77487,157656
06037,41051,78994,78603,157597
32003,48439,78549,77668,156217
06073,06081,79267,76343,155610
12086,13063,77578,77872,155450
06081,32003,75933,77337,153270
12095,42101,74897,77353,152250
08031,36081,74452,77354,151806
11001,13063,75832,74740,150572
08031,48439,70031,71117,141148
13063,42101,69814,68118,137932
12095,48201,65726,68394,134120
13063,32003,66575,67328,133903
08031,49035,65541,67509,133050
48201,48439,64677,67222,131899
12031,13063,66096,65756,131852
13063,34013,65784,65410,131194
13063,26163,66373,64307,130680
48439,53033,66133,64460,130593
17031,24003,64525,65521,130046
06081,25025,65804,63713,129517
13063,22051,63696,64226,127922
17031,26163,64053,63016,127069
13063,27053,63469,62628,126097
11001,25025,63936,62073,126009
17031,37119,60217,64440,124657
25025,42101,59658,63211,122869
12095,48439,61486,60998,122484
13063,37183,60930,61449,122379
06073,53033,62413,59721,122134
32003,48201,60962,60333,121295
06073,17031,60954,59743,120697
06037,27053,61149,57996,119145
06073,32003,59306,59048,118354
27053,53033,59681,58636,118317
12099,13063,59263,58660,117923
17031,29165,59794,57534,117328
06081,48439,58644,58467,117111
06081,41051,59233,57711,116944
06085,53033,58870,57329,116199
06073,06085,58279,57903,116182
04013,06073,59673,55987,115660
08031,51107,57922,57300,115222
06073,08031,55998,58115,114113
08031,12095,54963,58253,113216
12086,48439,55789,56368,112157
22051,48201,55778,56287,112065
06067,06073,56292,55723,112015
13063,53033,55060,55477,110537
41051,53033,56785,53487,110272
13063,48453,52451,57595,110046
17031,37183,52933,56844,109777
36081,48201,54289,55394,109683
13063,47037,55454,54069,109523
17031,47037,54690,54160,108850
06081,13063,54541,53495,108036
12095,37119,53337,54511,107848
17031,29189,52989,54389,107378
24003,25025,54976,52324,107300
04013,32003,54705,52515,107220
04013,48439,53448,52726,106174
13063,49035,52770,53392,106162
06001,32003,52786,52833,105619
12095,26163,51791,53220,105011
26163,36081,52208,52492,104700
17031,39035,51997,52507,104504
04013,06081,53149,51267,104416
53033,53063,52498,50878,103376
49035,53033,51807,51436,103243
08031,25025,53005,49828,102833
12095,25025,51024,51426,102450
12057,17031,52108,50315,102423
17031,48453,49736,52128,101864
08031,41051,49748,52002,101750
48113,48201,50758,50979,101737
13063,29165,50970,50470,101440
12011,34013,51161,50279,101440
13063,51087,49642,50764,100406
32003,36081,50336,49911,100247
06067,53033,51828,48407,100235
12071,13063,50067,48943,99010
06081,48201,49497,49028,98525
12095,24003,47573,50611,98184
06037,51107,49683,48322,98005
34013,37119,49096,48482,97578
13063,37119,47392,49951,97343
04013,27053,49839,47095,96934
17031,39049,48605,48269,96874
27053,32003,48250,48495,96745
26163,32003,47661,48606,96267
17031,42003,47399,48838,96237
13063,29189,48506,47325,95831
06037,12095,48262,47183,95445
12086,17031,47233,47526,94759
08031,34013,48413,46338,94751
34013,48201,47203,47461,94664
48201,48453,43968,50618,94586
12057,36081,47493,46683,94176
12011,48201,46908,47184,94092
32003,41051,46654,47055,93709
37119,48439,46676,46988,93664
36081,53033,46440,46966,93406
08031,48453,45663,47543,93206
42101,48439,46316,46667,92983
06073,48439,46483,46411,92894
12011,24003,45995,46874,92869
25025,34013,44927,47583,92510
04013,48201,45685,46652,92337
06081,27053,47497,44779,92276
48439,48453,45084,47191,92275
06081,51107,46375,45723,92098
04013,13063,47407,44616,92023
13063,18097,45509,46346,91855
06037,42101,45143,45810,90953
13063,39035,46256,44643,90899
08031,26163,45060,45632,90692
25025,37119,44606,45358,89964
25025,27053,44753,45168,89921
06037,26163,45787,43975,89762
24003,37119,45792,43784,89576
26163,53033,43984,43947,87931
04013,49035,45559,42314,87873
06037,48453,43134,44530,87664
48029,48201,44765,42856,87621
27053,48439,42407,45098,87505
13063,48029,43537,43911,87448
12099,36081,44526,42645,87171
17031,19155,43207,43802,87009
13063,39049,43265,43233,86498
48029,48439,44488,41981,86469
06037,12086,43606,42862,86468
25025,26163,42859,43258,86117
36081,37183,42504,43612,86116
27053,36081,43327,42430,85757
25025,48439,42098,42880,84978
13063,42003,41115,43288,84403
04013,06059,42620,41576,84196
08031,29165,40585,43150,83735
13063,51107,41449,42230,83679
26163,48439,41228,42306,83534
13063,45019,41218,41960,83178
12011,17031,39915,43025,82940
48439,49035,41641,40611,82252
13063,47157,40997,41130,82127
08031,42101,40890,41127,82017
12011,48439,40310,41223,81533
06085,32003,40748,40548,81296
12095,27053,40529,40726,81255
12057,48201,40808,40438,81246
08031,29189,40540,39916,80456
06059,06085,40418,39998,80416
32003,49035,40922,39066,79988
09003,17031,40200,39593,79793
48201,53033,40875,38150,79025
06059,08031,39505,39388,78893
04013,36081,40074,38804,78878
17031,49035,40201,38593,78794
04013,37119,40265,38155,78420
37119,42101,39265,39084,78349
11001,36081,40092,38002,78094
04013,06067,38738,39174,77912
06081,42101,38745,38560,77305
08031,37119,37985,39201,77186
06059,53033,38514,38469,76983
17031,21015,38094,38774,76868
11001,48439,38402,38250,76652
06001,53033,40949,35625,76574
08031,24003,36459,39414,75873
04013,06085,39189,36657,75846
06073,48201,37140,38236,75376
11001,12095,38015,37297,75312
04013,42101,38138,36795,74933
01073,13063,37726,37204,74930
06067,08031,37528,37377,74905
06001,06073,37202,37256,74458
26163,27053,37575,36865,74440
13063,51710,37211,37063,74274
25025,53033,36327,36586,72913
13063,45083,35475,37220,72695
17031,41051,36072,36443,72515
36081,47037,35915,36268,72183
06059,48439,36419,35632,72051
06073,13063,36540,35397,71937
04013,41051,36826,35002,71828
13063,55079,37149,34125,71274
17031,36029,35830,35414,71244
32003,34013,36035,34935,70970
06085,08031,35591,35255,70846
08031,47037,35039,35730,70769
12057,42101,34388,36339,70727
06037,37119,34662,35519,70181
25025,37183,33808,36333,70141
06085,41051,35507,34223,69730
12057,48439,34273,35243,69516
12011,25025,35885,33450,69335
12057,37119,34904,34183,69087
11001,12086,34584,34445,69029
12071,17031,35090,33751,68841
13063,21015,33529,34997,68526
13051,13063,34010,34222,68232
06067,32003,34687,33041,67728
22051,48439,33653,33984,67637
12033,13063,33501,33277,66778
12086,42101,33477,33162,66639
06059,06081,32858,33143,66001
04013,06071,32842,32884,65726
24003,26163,33285,32431,65716
04013,26163,33625,31948,65573
22051,36081,33242,32200,65442
13063,48113,33836,31547,65383
34013,48439,32007,33332,65339
12011,42101,32924,31988,64912
12057,34013,32460,32171,64631
36081,49035,31824,32560,64384
24003,48201,32339,31846,64185
06059,17031,32120,31979,64099
06073,49035,32467,31248,63715
12011,26163,32123,31266,63389
32003,32031,32185,31095,63280
04013,48453,32184,31038,63222
41051,49035,31577,31439,63016
34013,53033,31506,31407,62913
17031,18097,30667,32235,62902
27053,41051,31244,31654,62898
11001,48201,30154,32711,62865
08031,39035,30817,31612,62429
37119,48201,30401,31920,62321
16001,53033,30336,31823,62159
06081,49035,31719,30095,61814
04013,34013,31314,30378,61692
04013,06001,30741,30681,61422
06037,47037,31149,30156,61305
12086,37119,29829,31295,61124
12086,48201,30044,30983,61027
51107,53033,30524,30459,60983
12011,37119,29486,31496,60982
47037,48439,30227,30743,60970
17031,22051,30545,30254,60799
12057,24003,29173,31512,60685
17031,48029,29997,30153,60150
12081,13063,29859,30115,59974
13063,21111,29521,30227,59748
08031,12057,28363,31365,59728
37119,37183,28384,31045,59429
24003,27053,29990,29338,59328
11001,27053,29301,29261,58562
11001,37119,29096,29455,58551
48029,48113,28550,29868,58418
36029,36081,28846,29342,58188
26163,37119,28452,29555,58007
06037,48113,29026,28956,57982
40109,48439,29371,28328,57699
25025,48201,28038,29453,57491
09003,13063,28627,28755,57382
26163,42101,28332,29016,57348
40143,48439,28588,28663,57251
12086,12095,28492,28698,57190
06081,48453,28390,28668,57058
08031,22051,27779,29140,56919
25025,47037,27812,29060,56872
17031,26081,28799,28015,56814
06073,36081,28553,27882,56435
12095,37183,26859,28762,55621
12095,18097,27637,27955,55592
11001,26163,27929,27637,55566
08031,12011,26645,28905,55550
32003,42101,28735,26713,55448
06037,24003,27787,27621,55408
37119,47037,28060,27264,55324
09003,12095,27602,27687,55289
06073,27053,27761,27521,55282
12086,34013,28176,26948,55124
27053,42101,27481,27534,55015
06001,41051,28738,26207,54945
08031,48113,26825,27922,54747
06071,48439,27387,27193,54580
35001,48439,27194,27315,54509
17031,36001,27908,26395,54303
08031,18097,27117,27143,54260
48113,48453,26674,27448,54122
04013,35001,26980,27071,54051
32003,48453,26107,27894,54001
27053,49035,27261,26429,53690
12057,25025,26841,26831,53672
47037,48201,26594,27076,53670
12086,25025,27035,26602,53637
40109,48201,25865,27598,53463
26163,47037,26046,27403,53449
06081,26163,26914,26481,53395
13063,37081,26321,26901,53222
04019,48439,26903,26286,53189
25025,32003,25370,27388,52758
24003,37183,26223,26495,52718
42101,47037,26088,26571,52659
08031,48029,25416,27079,52495
36081,39035,26106,26117,52223
08031,19155,26907,25071,51978
06081,37119,26411,25555,51966
12095,47037,25341,26367,51708
06073,41051,26314,25349,51663
48141,48439,27030,24619,51649
12099,34013,25963,25566,51529
41051,48439,25585,25741,51326
34013,37183,25245,25958,51203
27053,37119,25537,25467,51004
06037,06073,24764,26228,50992
06037,12011,25477,25434,50911
08031,21015,25343,25444,50787
12057,26163,25580,25189,50769
17031,48113,24903,25594,50497
29189,48439,25354,25060,50414
12095,29189,25865,24497,50362
04013,48029,25208,25108,50316
06037,22051,24752,25348,50100
32003,37119,25814,24247,50061
05119,13063,24667,25319,49986
36081,48453,24202,25746,49948
08031,55079,24810,24885,49695
27053,34013,24749,24881,49630
27053,29189,23777,25566,49343
26163,34013,24654,24553,49207
08031,35001,24846,24345,49191
42101,48201,24616,24439,49055
26163,48201,23972,24959,48931
29165,48439,24207,24641,48848
48061,48201,26126,22712,48838
