geoid_a,geoid_b,pax_ab,pax_ba,passengers
17031,36081,187487,183728,371215
06037,32003,180393,181670,362063
06037,06081,177005,178835,355840
06037,36081,169114,171527,340641
13063,36081,147940,146959,294899
06037,17031,143502,144719,288221
12095,13063,129872,132939,262811
08031,17031,129316,132300,261616
13063,17031,120107,123731,243838
17031,25025,118479,118983,237462
06037,53033,113052,122762,235814
06037,08031,112651,120101,232752
17031,32003,112901,110414,223315
12086,36081,108695,114312,223007
06037,48439,109185,111925,221110
06037,06085,107861,112893,220754
17031,27053,110895,109857,220752
04013,06037,105280,107038,212318
04013,17031,103768,106600,210368
17031,48439,105892,103403,209295
12011,13063,102476,104764,207240
06001,06037,100562,100538,201100
12011,36081,96677,102866,199543
06081,17031,99564,99119,198683
06037,06067,94144,97183,191327
12095,17031,92670,97752,190422
12095,36081,92808,97148,189956
12057,13063,94043,94900,188943
06081,34013,92617,92485,185102
06037,13063,91110,93533,184643
11001,17031,93305,91069,184374
04013,08031,89751,93398,183149
08031,48201,93475,89136,182611
25025,36081,92158,88313,180471
13063,48201,89734,86515,176249
06081,36081,88626,87115,175741
06081,53033,86181,89102,175283
06037,49035,85956,88752,174708
08031,32003,87209,85694,172903
06037,48201,86591,86146,172737
36081,48439,86462,86188,172650
17031,34013,84616,84628,169244
17031,48201,86261,82828,169089
12095,34013,83212,85738,168950
06081,08031,81566,87196,168762
36081,37119,85198,83095,168293
06081,32003,81787,84027,165814
13063,48439,81889,80806,162695
13063,24003,79941,81625,161566
08031,53033,79493,81620,161113
17031,42101,79865,81177,161042
13063,25025,78755,79815,158570
17031,53033,79855,77319,157174
12095,42101,75465,81485,156950
06037,34013,78350,78207,156557
08031,27053,77323,78904,156227
32003,53033,77478,78124,155602
11001,25025,75426,76419,151845
11001,13063,75265,75767,151032
06037,41051,72246,77430,149676
13063,32003,73012,74308,147320
08031,48439,73898,72589,146487
12086,13063,72272,74031,146303
08031,13063,70132,70573,140705
08031,36081,70004,70304,140308
06073,06081,70598,68123,138721
04013,53033,65688,71333,137021
06037,25025,68073,68533,136606
32003,48439,67534,67568,135102
04013,32003,67565,67534,135099
13063,22051,67582,66825,134407
13063,42101,65019,69031,134050
32003,48201,67368,65998,133366
12095,48201,66058,67095,133153
13063,34013,66072,66257,132329
08031,49035,64073,68073,132146
13063,37183,65230,65713,130943
06081,25025,64763,65138,129901
17031,26163,64883,64630,129513
48201,48439,63976,65236,129212
12031,13063,63969,64051,128020
41051,53033,64894,61949,126843
13063,47037,63151,61182,124333
22051,48201,60855,62610,123465
12095,37119,61558,61836,123394
13063,26163,61076,61813,122889
17031,24003,61532,60791,122323
06073,17031,59614,61339,120953
25025,42101,60011,60387,120398
17031,29165,61144,57786,118930
17031,37119,58719,59853,118572
17031,47037,59076,59205,118281
12095,25025,57193,60935,118128
04013,48439,56730,60442,117172
13063,27053,57553,59432,116985
53033,53063,58164,58457,116621
34013,37119,58550,57698,116248
06073,32003,56667,57408,114075
06073,53033,55724,57851,113575
12011,34013,55587,57757,113344
06073,08031,56255,56289,112544
04013,06073,56106,56030,112136
12095,48439,55230,56156,111386
04013,27053,54050,56623,110673
06067,06073,56133,54381,110514
06073,06085,55909,54298,110207
27053,32003,55975,53848,109823
06085,53033,52966,54593,107559
17031,39035,53027,54251,107278
12095,26163,51717,55404,107121
12086,48439,53040,54065,107105
17031,37183,53449,53626,107075
48113,48201,51945,54927,106872
25025,34013,52538,53753,106291
48439,53033,52135,54115,106250
17031,48453,53764,52237,106001
13063,48453,52878,52352,105230
26163,36081,52561,52283,104844
34013,48201,53941,50417,104358
17031,39049,51078,53116,104194
24003,25025,51176,52868,104044
13063,51087,51042,51697,102739
17031,29189,52839,49758,102597
12086,17031,50264,52212,102476
06081,41051,50200,52038,102238
12099,13063,48784,50967,99751
13063,18097,49061,50300,99361
08031,41051,49283,49915,99198
24003,37119,50221,48941,99162
04013,13063,49005,49503,98508
36081,48201,49714,48704,98418
06001,32003,49127,49207,98334
12057,17031,48363,49968,98331
06081,48439,48857,49048,97905
08031,51107,49530,47895,97425
27053,53033,49229,48170,97399
48201,48453,49092,47957,97049
06037,27053,47383,49377,96760
26163,32003,48109,48597,96706
04013,48201,48818,47586,96404
08031,12095,49551,46761,96312
13063,37119,46734,48554,95288
13063,49035,47200,47978,95178
06037,51107,47385,47335,94720
08031,26163,48146,46547,94693
08031,48453,48027,46611,94638
48439,48453,47256,47213,94469
12011,24003,45811,48491,94302
42101,48439,46919,47342,94261
04013,49035,45963,48160,94123
13063,53033,46588,46866,93454
25025,37119,46674,46757,93431
13063,29165,46052,47151,93203
08031,25025,45048,47364,92412
12095,24003,44921,47272,92193
49035,53033,46128,45962,92090
06081,48201,46249,45733,91982
06037,48453,45596,45728,91324
13063,29189,45651,45550,91201
17031,42003,42637,47979,90616
06081,13063,45643,44746,90389
48029,48201,44045,46007,90052
12071,13063,42978,46572,89550
04013,06081,43650,45892,89542
37119,48439,45762,43775,89537
08031,29165,44768,44217,88985
06067,32003,44567,43877,88444
37119,42101,43886,44308,88194
06081,51107,43884,43774,87658
06085,32003,43243,43918,87161
36081,37183,43582,43461,87043
25025,26163,43460,43155,86615
04013,06059,43097,43445,86542
13063,45019,43520,42876,86396
13063,42003,41662,44549,86211
36081,53033,42581,43505,86086
48029,48439,42714,43016,85730
13063,47157,42874,42622,85496
32003,41051,42389,42947,85336
32003,36081,42760,42167,84927
06067,53033,42910,41935,84845
27053,48439,42961,41850,84811
32003,49035,41406,43153,84559
13063,48029,42296,42184,84480
06037,26163,41748,42375,84123
04013,37119,41929,42005,83934
06073,48439,41613,41681,83294
06037,42101,41152,41763,82915
27053,36081,42241,40500,82741
08031,29189,42041,40315,82356
13063,39049,40328,41868,82196
13063,45083,40993,41167,82160
06059,06085,41045,40843,81888
06059,53033,39386,42190,81576
12057,36081,40126,41329,81455
12099,36081,38792,42404,81196
17031,22051,41644,39516,81160
26163,48439,41310,39539,80849
12011,17031,39271,41189,80460
32003,34013,40618,39791,80409
17031,21015,38690,41209,79899
08031,37119,38982,40657,79639
17031,41051,39315,40003,79318
13063,39035,38595,40673,79268
11001,12086,39918,39208,79126
13063,51107,39602,39337,78939
12057,37119,39045,39864,78909
06037,12086,39619,39108,78727
34013,48439,39732,38979,78711
06073,48201,39464,39229,78693
01073,13063,39522,39007,78529
04013,42101,39715,38610,78325
11001,48439,39375,38624,77999
12011,25025,37292,40552,77844
11001,12095,39531,37722,77253
08031,34013,39943,37170,77113
08031,42101,40348,36502,76850
04013,06067,38905,37838,76743
06059,08031,37831,38750,76581
12095,27053,37981,38450,76431
04013,06085,37804,38573,76377
12011,48201,37217,39133,76350
04013,36081,38107,37806,75913
08031,47037,37611,38272,75883
06067,08031,37621,38086,75707
25025,27053,37941,37569,75510
06081,27053,37869,37634,75503
36081,47037,37425,38076,75501
25025,48439,37289,37986,75275
06073,13063,37622,37334,74956
13051,13063,36795,37786,74581
12011,37119,36914,36806,73720
17031,19155,36040,37459,73499
26163,27053,37426,36064,73490
48439,49035,35789,37545,73334
11001,36081,37062,36213,73275
17031,49035,37063,35954,73017
06001,06073,36725,36198,72923
13063,51710,36689,35795,72484
08031,24003,34678,36747,71425
09003,17031,35445,35937,71382
12071,17031,33733,37419,71152
13063,55079,34266,36207,70473
04013,06071,35437,34620,70057
12011,48439,34440,35491,69931
12011,26163,33739,36151,69890
06037,37119,34634,35158,69792
06059,48439,33846,35403,69249
16001,53033,34111,34929,69040
25025,37183,34722,34266,68988
13063,21015,33421,35317,68738
32003,37119,34662,34060,68722
37119,48201,35009,33680,68689
06037,12095,34266,34331,68597
06059,06081,34065,33899,67964
13063,48113,33849,34067,67916
12086,42101,32567,35337,67904
12086,34013,33394,34441,67835
06085,08031,33347,34456,67803
32003,32031,33492,34242,67734
12086,37119,32192,34675,66867
04013,06001,32490,34367,66857
22051,48439,32917,33873,66790
13063,21111,32623,33776,66399
12033,13063,33270,33035,66305
06085,41051,32564,33700,66264
37119,47037,32959,33231,66190
06001,53033,32289,33900,66189
24003,48201,34008,32088,66096
37119,37183,32606,33377,65983
04013,48453,32668,33287,65955
12086,12095,32799,32204,65003
04013,41051,32122,32701,64823
12057,34013,30975,33323,64298
24003,26163,32986,31131,64117
11001,37119,31901,32200,64101
17031,18097,30730,33269,63999
12086,48201,31863,32022,63885
12011,42101,30889,32428,63317
22051,36081,30842,32064,62906
17031,26081,30954,31445,62399
04013,34013,30197,31714,61911
48029,48113,31444,30449,61893
12057,48439,30913,30839,61752
41051,49035,30548,30969,61517
36029,36081,31247,30220,61467
25025,53033,30713,30558,61271
12057,48201,30099,31155,61254
47037,48439,30802,30334,61136
13063,37081,30927,30204,61131
47037,48201,30899,30045,60944
25025,47037,30428,30402,60830
06081,42101,29869,29527,59396
06059,17031,28515,30850,59365
11001,48201,29047,30095,59142
26163,53033,29225,29851,59076
04013,26163,27873,31094,58967
06073,49035,28969,29902,58871
17031,36029,29304,29364,58668
25025,48201,29703,28878,58581
06037,48113,28973,29518,58491
26163,47037,28910,29356,58266
32003,42101,29282,28734,58016
12057,25025,28020,29952,57972
17031,48029,29789,28114,57903
09003,12095,29523,28301,57824
08031,18097,29606,27929,57535
11001,27053,28128,29322,57450
08031,22051,30501,26848,57349
06037,24003,29181,27924,57105
40109,48201,28937,28144,57081
35001,48439,28646,28055,56701
27053,34013,28426,28176,56602
48113,48453,28030,28467,56497
09003,13063,28682,27793,56475
06037,47037,28408,27662,56070
40109,48439,28097,27823,55920
08031,48113,26957,28776,55733
17031,21111,27862,27868,55730
04019,48439,27471,28168,55639
12057,42101,27233,28271,55504
11001,26163,27273,28074,55347
40143,48439,27473,27584,55057
12057,24003,27728,27281,55009
04013,35001,26538,28148,54686
04013,48029,27183,27462,54645
37119,42003,27162,27465,54627
48201,53033,25742,28446,54188
12081,13063,26486,27676,54162
08031,55079,26995,27059,54054
25025,32003,26849,27205,54054
26163,42101,26869,26875,53744
48141,48439,27058,26610,53668
29189,48439,27029,26405,53434
36081,49035,25906,27445,53351
24003,32003,27693,25434,53127
06001,41051,26704,26414,53118
32003,48453,26201,26916,53117
06081,48453,26753,26243,52996
29165,48439,26963,25956,52919
06081,26163,26525,26346,52871
08031,39035,26631,26030,52661
06073,27053,26099,26499,52598
42101,47037,26267,26274,52541
24003,37183,26429,26044,52473
26163,37119,26179,26272,52451
08031,12057,25750,26467,52217
17031,48113,26366,25850,52216
12031,37119,25988,26080,52068
06081,49035,24836,27049,51885
26163,34013,26176,25629,51805
12099,34013,24385,27258,51643
06073,41051,25218,26416,51634
27053,42101,25770,25761,51531
27053,41051,26059,25253,51312
34013,47037,25440,25864,51304
06071,48439,25262,25764,51026
08031,19155,26093,24843,50936
51107,53033,25146,25557,50703
08031,35001,25646,24985,50631
08031,48029,26135,24331,50466
06037,06073,24626,25837,50463
12057,26163,24520,25848,50368
27053,48201,25746,24615,50361
13063,47009,24692,25551,50243
01089,13063,25268,24912,50180
06073,36081,24983,25184,50167
12005,13063,24983,25164,50147
27053,37119,25898,24161,50059
06071,08031,24716,25249,49965
12095,47037,24594,25212,49806
06037,22051,24043,25423,49466
04013,48113,23554,25838,49392
37119,51087,24873,24517,49390
29189,36081,24387,25000,49387
04013,25025,24389,24790,49179
08031,12011,25462,23558,49020
27053,29189,24767,24065,48832
17031,36001,23587,25216,48803
34013,37183,24979,23785,48764
12095,37183,23107,25375,48482
06081,37119,24496,23929,48425
06059,32003,23843,24347,48190
22051,37119,24027,24096,48123
24003,27053,24153,23929,48082
12095,18097,24052,24030,48082
