t,x,y
2.270292,562.1957,1032.0202
2.282563,565.5293,1036.9577
2.294835,568.8629,1041.8952
2.307107,572.1965,1046.8328
2.319379,575.5300,1051.7703
2.331651,578.8635,1056.7079
2.343923,582.1969,1061.6455
2.356194,585.5303,1066.5832
2.368466,588.8636,1071.5209
2.380738,592.1969,1076.4586
2.393010,595.5302,1081.3963
2.405282,598.8634,1086.3341
2.417554,602.2247,1087.6274
2.429826,605.6440,1082.7489
2.442097,609.0799,1077.8821
2.454369,612.5317,1073.0265
2.466641,615.9993,1068.1821
2.478913,619.4825,1063.3490
2.491185,622.9815,1058.5273
2.503457,626.4963,1053.7170
2.515728,630.0262,1048.9180
2.528000,633.5713,1044.1301
2.540272,637.1315,1039.3533
2.552544,640.7066,1034.5878
2.564816,644.2970,1029.8337
2.577088,647.9019,1025.0908
2.589360,651.5215,1020.3588
2.601631,655.1554,1015.6380
2.613903,658.8036,1010.9282
2.626175,662.4661,1006.2294
2.638447,666.1430,1001.5420
2.650719,669.8338,996.8655
2.662991,673.5385,992.2000
2.675262,677.2569,987.5454
2.687534,680.9889,982.9017
2.699806,684.7344,978.2689
2.712078,688.4933,973.6469
2.724350,692.2657,969.0359
2.736622,696.0513,964.4359
2.748894,699.8500,959.8466
2.761165,703.6617,955.2680
2.773437,707.4861,950.7002
2.785709,711.3233,946.1430
2.797981,715.1732,941.5965
2.810253,719.0355,937.0606
2.822525,722.9103,932.5354
2.834796,726.7974,928.0207
2.847068,730.6967,923.5166
2.859340,734.6084,919.0232
2.871612,738.5630,914.5677
2.883884,742.5658,910.1553
2.896156,746.5951,905.7671
2.908428,750.6507,901.4032
2.920699,754.7324,897.0637
2.932971,758.8399,892.7485
2.945243,762.9728,888.4577
2.957515,767.1309,884.1914
2.969787,771.3138,879.9494
2.982059,775.5214,875.7318
2.994330,779.7533,871.5386
3.006602,784.0092,867.3698
3.018874,788.2889,863.2254
3.031146,792.5921,859.1054
3.043418,796.9186,855.0099
3.055690,801.2679,850.9387
3.067962,805.6399,846.8917
3.080233,810.0342,842.8690
3.092505,814.4504,838.8705
3.104777,818.8885,834.8961
3.117049,823.3480,830.9458
3.129321,827.8287,827.0196
3.141593,832.3303,823.1174
3.153864,836.8526,819.2392
3.166136,841.3952,815.3848
3.178408,845.9580,811.5543
3.190680,850.5406,807.7475
3.202952,855.1428,803.9645
3.215224,859.7643,800.2050
3.227496,864.4048,796.4691
3.239767,869.0642,792.7567
3.252039,873.7423,789.0679
3.264311,878.4387,785.4025
3.276583,883.1532,781.7603
3.288855,887.8855,778.1412
3.301127,892.6353,774.5453
3.313399,897.4024,770.9723
3.325670,902.1866,767.4222
3.337942,906.9876,763.8949
3.350214,911.7770,760.3527
3.362486,916.4699,756.6828
3.374758,921.1311,752.9727
3.387030,925.7597,749.2220
3.399301,930.3534,745.4287
3.411573,934.9089,741.5895
3.423845,939.4288,737.7086
3.436117,943.9122,733.7855
3.448389,948.3582,729.8201
3.460661,952.7600,725.8057
3.472933,957.1213,721.7473
3.485204,961.4418,717.6455
3.497476,965.7203,713.5000
3.509748,969.9483,709.3029
3.522020,974.1320,705.0616
3.534292,978.2702,700.7761
3.546564,982.3572,696.4415
3.558835,986.3920,692.0585
3.571107,990.3776,687.6306
3.583379,994.3095,683.1550
3.595651,998.1829,678.6286
3.607923,1002.0032,674.0573
3.620195,1005.7652,669.4380
3.632467,1009.4641,664.7679
3.644738,1013.1060,660.0533
3.657010,1016.6826,655.2890
3.669282,1020.1938,650.4762
3.681554,1023.6438,645.6195
3.693826,1027.0194,640.7106
3.706098,1030.3295,635.7574
3.718369,1033.5695,630.7581
3.730641,1036.7333,625.7102
3.742913,1039.8293,620.6204
3.755185,1042.8423,615.4811
3.767457,1045.7831,610.3001
3.779729,1048.6439,605.0746
3.792001,1051.4236,599.8054
3.804272,1054.1261,594.4962
3.816544,1056.7392,589.1425
3.828816,1059.2760,583.7522
3.841088,1061.7189,578.3187
3.853360,1064.0820,572.8500
3.865632,1066.3530,567.3424
3.877903,1068.5379,561.8001
3.890175,1070.6328,556.2232
3.902447,1072.6359,550.6126
3.914719,1074.5509,544.9714
3.926991,1076.3690,539.2982
3.939263,1078.1014,533.5983
3.951535,1079.7322,527.8684
3.963806,1081.2788,522.1152
3.976078,1082.7218,516.3353
3.988350,1084.0789,510.5345
4.000622,1085.3359,504.7112
4.012894,1086.5031,498.8692
4.025166,1087.5742,493.0089
4.037437,1088.5516,487.1322
4.049709,1089.4379,481.2411
4.061981,1090.0066,475.3183
4.074253,1090.1780,469.3633
4.086525,1090.2565,463.4064
4.098797,1090.2558,457.4490
4.111069,1090.1632,451.4923
4.123340,1089.9814,445.5376
4.135612,1089.7069,439.5866
4.147884,1089.3352,433.6408
4.160156,1088.8678,427.7018
4.172428,1088.2975,421.7717
4.184700,1087.6264,415.8523
4.196971,1086.8490,409.9458
4.209243,1085.9637,404.0546
4.221515,1084.9715,398.1804
4.233787,1083.8621,392.3273
4.246059,1082.6468,386.4951
4.258331,1081.3052,380.6908
4.270603,1079.8522,374.9134
4.282874,1078.2788,369.1675
4.295146,1076.5810,363.4573
4.307418,1074.7669,357.7828
4.319690,1072.8229,352.1516
4.331962,1070.7560,346.5644
4.344234,1068.5692,341.0229
4.356505,1066.2486,335.5360
4.368777,1063.8055,330.1028
4.381049,1061.2417,324.7254
4.393321,1058.5451,319.4132
4.405593,1055.7267,314.1649
4.417865,1052.7893,308.9821
